text,size
29,可靠
29,root
22,spanning
22,bridge
22,正常
21,spanning
21,扮演
21,tree
40,LAN1
40,bridge
40,bridge1
40,LAN
20,source
20,address
23,LAN
25,bridge
25,learning
25,兩件事
26,source
26,destination
37,source
37,port2
17,algorithm
17,bridge
17,spanning
20,bridge
20,id
14,MAC
14,byte
14,address
17,可靠
17,接成
17,loop
19,bridge
19,過濾
19,port1
19,bridgeX
20,可靠
20,bridge
20,loop
25,bridge
25,spanning
25,tree
25,cost
42,bridge
42,spanning
42,review
42,id
42,tree
27,代理
27,LAN
28,spanning
28,tree
28,review
29,station
29,bridge
29,LAN
30,bridge
23,spanning
23,tree
25,bridge
25,id
19,algorithm
19,spanning
19,tree
20,bridge
22,bridge
22,id
18,bridge
18,BPDU
19,bridge
19,一嘛
20,bridge
33,bridge
33,forwarding
33,frame
18,timer
19,12345
19,LAN
25,bridge
25,learning
25,address
25,frame
25,forwarding
